year,state,district,candidate,party,candidatevotes,totalvotes
1978,TENNESSEE,3,DAN RUCKER EAST,INDEPENDENT,13535,121838
1978,TENNESSEE,3,MARILYN LLOYD,DEMOCRAT,108282,121838
1978,TENNESSEE,3,WRITEIN,,21,121838
1978,TENNESSEE,4,ALBERT GORE JR,DEMOCRAT,108695,108701
1978,TENNESSEE,4,WRITEIN,,6,108701
1978,TENNESSEE,5,HENRY HAILE,INDEPENDENT,17674,133608
1978,TENNESSEE,5,WILLIAM DEAN GOODWIN,REPUBLICAN,47288,133608
1978,TENNESSEE,5,WILLIAM HILL BONER,DEMOCRAT,68608,133608
1978,TENNESSEE,5,WRITEIN,,38,133608
1978,TENNESSEE,6,C RONALD ARLINE,DEMOCRAT,38954,153591
1978,TENNESSEE,6,ROBIN BEARD,REPUBLICAN,114630,153591
1978,TENNESSEE,6,WRITEIN,,7,153591
1978,TENNESSEE,7,ED JONES,DEMOCRAT,96863,132866
1978,TENNESSEE,7,ROSS EARL COOK,REPUBLICAN,36003,132866
1978,TENNESSEE,8,DUNCAN RAGSDALE,REPUBLICAN,33679,115917
1978,TENNESSEE,8,HAROLD E FORD,DEMOCRAT,80776,115917
1978,TENNESSEE,8,RICHARD WHITMORE,INDEPENDENT,1460,115917
1978,TENNESSEE,8,WRITEIN,,2,115917
1978,TEXAS,1,FRED HUDSON,REPUBLICAN,20700,94408
1978,TEXAS,1,SAM B HALL,DEMOCRAT,73708,94408
1978,TEXAS,2,CHARLES WILSON,DEMOCRAT,66986,95570
1978,TEXAS,2,JAMES H DILLION,REPUBLICAN,28584,95570
1978,TEXAS,3,JAMES M COLLINS,REPUBLICAN,96406,96406
1978,TEXAS,4,FRANK S GLENN,REPUBLICAN,36582,94918
1978,TEXAS,4,RAY ROBERTS,DEMOCRAT,58336,94918
1978,TEXAS,5,JAMES MICHAEL WHITE,SOCIALIST WORKERS,397,70593
1978,TEXAS,5,JIM MATTOX,DEMOCRAT,35524,70593
1978,TEXAS,5,THOMAS W PAUKEN,REPUBLICAN,34672,70593
1978,TEXAS,6,WES MOWERY,REPUBLICAN,35393,101418
1978,TEXAS,6,WILLIAM PHILIP GRAMM,DEMOCRAT,66025,101418
1978,TEXAS,7,BILL ARCHER,REPUBLICAN,128214,150629
1978,TEXAS,7,ROBERT LAURENCE HUTCHINGS,DEMOCRAT,22415,150629
1978,TEXAS,8,NICK GEARHART,REPUBLICAN,24673,64102
1978,TEXAS,8,ROBERT ECKHARDT,DEMOCRAT,39429,64102
1978,TEXAS,9,JACK BROOKS,DEMOCRAT,50792,80265
1978,TEXAS,9,RANDY EVANS,REPUBLICAN,29473,80265
1978,TEXAS,10,EMMETT LEROY HUDSPETH,REPUBLICAN,29328,123857
1978,TEXAS,10,JAMES J PICKLE,DEMOCRAT,94529,123857
1978,TEXAS,11,JACK BURGESS,REPUBLICAN,49965,103319
1978,TEXAS,11,MARVIN LEATH,DEMOCRAT,53354,103319
1978,TEXAS,12,CLAUDE K BROWN,REPUBLICAN,21364,67820
1978,TEXAS,12,JIM WRIGHT,DEMOCRAT,46456,67820
1978,TEXAS,13,CLIFFORD ALVIN JONES,REPUBLICAN,25275,100546
1978,TEXAS,13,JACK HIGHTOWER,DEMOCRAT,75271,100546
1978,TEXAS,14,JOE WYATT JR,DEMOCRAT,63953,88278
1978,TEXAS,14,JOY YATES,REPUBLICAN,24325,88278
1978,TEXAS,15,E DE LA GARZA,DEMOCRAT,54560,82413
1978,TEXAS,15,ROBERT LENDOL MCDONALD,REPUBLICAN,27853,82413
1978,TEXAS,16,MICHAEL GIERE,REPUBLICAN,22743,75833
1978,TEXAS,16,RICHARD C WHITE,DEMOCRAT,53090,75833
1978,TEXAS,17,BILLY L FISHER,REPUBLICAN,32302,101332
1978,TEXAS,17,CHARLES W STENHOLM,DEMOCRAT,69030,101332
1978,TEXAS,18,DEBORAH VEE VERNIER,SOCIALIST WORKERS,1235,38018
1978,TEXAS,18,"GOERGE THOMAS ""MICKEY"" LELAND",DEMOCRAT,36783,38018
1978,TEXAS,19,GEORGE BUSH,REPUBLICAN,48070,102799
1978,TEXAS,19,KENT HANCE,DEMOCRAT,54729,102799
1978,TEXAS,20,HENRY B GONZALEZ,DEMOCRAT,51584,51584
1978,TEXAS,21,NELSON WILLIAM WOLFF,DEMOCRAT,63501,147837
1978,TEXAS,21,THOMAS G LOEFFLER,REPUBLICAN,84336,147837
1978,TEXAS,22,BOB GAMMAGE,DEMOCRAT,53443,108086
1978,TEXAS,22,RONALD E PAUL,REPUBLICAN,54643,108086
1978,TEXAS,23,ABRAHAM KAZEN JR,DEMOCRAT,62649,69834
1978,TEXAS,23,AGUSTIN MATA,LA RAZA UNIDA,7185,69834
1978,TEXAS,24,LEO BERMAN,REPUBLICAN,33314,72515
1978,TEXAS,24,MARTIN FROST,DEMOCRAT,39201,72515
1978,UTAH,1,DENNIS A DE BOER,INDEPENDENT,894,183994
1978,UTAH,1,GUN MCKAY,DEMOCRAT,93892,183994
1978,UTAH,1,JED J RICHARDSON,REPUBLICAN,85028,183994
1978,UTAH,1,ROBERT TERRANCE OWENS,AMERICAN INDEPENDENT,4180,183994
1978,UTAH,2,BRUCE BANGERTER,INDEPENDENT,1512,195166
1978,UTAH,2,DAN MARRIOTT,REPUBLICAN,121492,195166
1978,UTAH,2,EDWIN BROWN FIRMAGE,DEMOCRAT,68899,195166
1978,UTAH,2,LAWRENCE REY TOPHMAN,AMERICAN INDEPENDENT,1940,195166
1978,UTAH,2,WILLIAM C HOYLE,INDEPENDENT,1323,195166
1978,VERMONT,0,JAMES M JEFFORDS,REPUBLICAN,90688,120502
1978,VERMONT,0,PETER ISSAC DIAMONDSTONE,LIBERTY UNION,6505,120502
1978,VERMONT,0,SARAH MARIE DIETZ,DEMOCRAT,23228,120502
1978,VERMONT,0,WRITEIN,,81,120502
1978,VIRGINIA,1,LEWIS BURWELL PULLER,DEMOCRAT,34578,123741
1978,VIRGINIA,1,PAUL S TRIBLE JR,REPUBLICAN,89158,123741
1978,VIRGINIA,1,WRITEIN,,5,123741
1978,VIRGINIA,2,G WILLIAM WHITEHURST,REPUBLICAN,63512,63530
1978,VIRGINIA,2,WRITEIN,,18,63530
1978,VIRGINIA,3,ALAN ROBERT OGDEN,INDEPENDENT,14453,119217
1978,VIRGINIA,3,DAVID E SATTERFIELD,DEMOCRAT,104550,119217
1978,VIRGINIA,3,WRITEIN,,214,119217
1978,VIRGINIA,4,ROBERT W DANIEL JR,REPUBLICAN,77827,77873
1978,VIRGINIA,4,WRITEIN,,46,77873
1978,VIRGINIA,5,DAN DANIEL,DEMOCRAT,83575,83619
1978,VIRGINIA,5,WRITEIN,,44,83619
1978,VIRGINIA,6,M CALDWELL BUTLER,REPUBLICAN,88647,88803
1978,VIRGINIA,6,WRITEIN,,156,88803
1978,VIRGINIA,7,J KENNETH ROBINSON,REPUBLICAN,84517,131476
1978,VIRGINIA,7,LEWIS PERLEY FICKETT JR,DEMOCRAT,46950,131476
1978,VIRGINIA,7,WRITEIN,,9,131476
1978,VIRGINIA,8,CHARLES E COE,INDEPENDENT,52396,111170
1978,VIRGINIA,8,HERBERT E HARRIS II,DEMOCRAT,56137,111170
1978,VIRGINIA,8,JOHN F HERRITY,REPUBLICAN,2632,111170
1978,VIRGINIA,8,WRITEIN,,5,111170
1978,VIRGINIA,9,CHARLES CHAMP CLARK,DEMOCRAT,47367,124254
1978,VIRGINIA,9,WILLIAM C WAMPLER,REPUBLICAN,76877,124254
1978,VIRGINIA,9,WRITEIN,,10,124254
1978,VIRGINIA,10,FRANK R WOLF,REPUBLICAN,61981,132882
1978,VIRGINIA,10,JOSEPH L FISHER,DEMOCRAT,70892,132882
1978,VIRGINIA,10,WRITEIN,,9,132882
1978,WASHINGTON,1,JANICE NIEMI,DEMOCRAT,52706,156193
1978,WASHINGTON,1,JOEL PRITCHARD,REPUBLICAN,99942,156193
1978,WASHINGTON,1,JOHN H ADDISON,LIBERTARIAN,3545,156193
1978,WASHINGTON,2,ALLAN BYRON SWIFT,DEMOCRAT,70620,137413
1978,WASHINGTON,2,JOHN NANCE GARNER,REPUBLICAN,66793,137413
1978,WASHINGTON,3,DON BONKER,DEMOCRAT,82616,140886
1978,WASHINGTON,3,RICHARD H BENNETT SR,REPUBLICAN,58270,140886
1978,WASHINGTON,4,MIKE MCCORMACK,DEMOCRAT,85602,139991
1978,WASHINGTON,4,SUSAN ROYLANCE,REPUBLICAN,54389,139991
1978,WASHINGTON,5,DUANE ALTON,REPUBLICAN,68761,160849
1978,WASHINGTON,5,MEL TONASKET,INDEPENDENT,14887,160849
1978,WASHINGTON,5,THOMAS S FOLEY,DEMOCRAT,77201,160849
1978,WASHINGTON,6,JAMES EDWARD BEAVER,REPUBLICAN,43640,116740
1978,WASHINGTON,6,MARY KATHLEEN SMITH,SOCIALIST WORKERS,2043,116740
1978,WASHINGTON,6,NORMAN N DICKS,DEMOCRAT,71057,116740
1978,WASHINGTON,7,JOHN E CUNNINGHAM,REPUBLICAN,59052,126502
1978,WASHINGTON,7,MICHAEL E LOWRY,DEMOCRAT,67450,126502
1978,WEST VIRGINIA,1,GENE A HAYNES,REPUBLICAN,44062,120434
1978,WEST VIRGINIA,1,ROBERT H MOLLOHAN,DEMOCRAT,76372,120434
1978,WEST VIRGINIA,2,CLEVELAND KEITH BENEDICT,REPUBLICAN,56272,125955
1978,WEST VIRGINIA,2,HARLEY O STAGGERS,DEMOCRAT,69683,125955
1978,WEST VIRGINIA,3,DAVID MICHAEL STATON,REPUBLICAN,51584,126421
1978,WEST VIRGINIA,3,JOHN M SLACK,DEMOCRAT,74837,126421
1978,WEST VIRGINIA,4,NICK J RAHALL II,DEMOCRAT,70035,70035
1978,WISCONSIN,1,LES ASPIN,DEMOCRAT,77146,141585
1978,WISCONSIN,1,WILLIAM WATSON PETRIE III,REPUBLICAN,64437,141585
1978,WISCONSIN,1,WRITEIN,,2,141585
1978,WISCONSIN,2,DICK G FIELDS,INDEPENDENT,1697,172762
1978,WISCONSIN,2,JAMES A WRIGHT,REPUBLICAN,71412,172762
1978,WISCONSIN,2,ROBERT W KASTENMEIER,DEMOCRAT,99631,172762
1978,WISCONSIN,2,WRITEIN,,22,172762
1978,WISCONSIN,3,ALVIN BALDUS,DEMOCRAT,96326,153412
1978,WISCONSIN,3,MICHAEL STEVEN ELLIS,REPUBLICAN,57060,153412
1978,WISCONSIN,3,WRITEIN,,26,153412
1978,WISCONSIN,4,CLEMENT J ZABLOCKI,DEMOCRAT,101575,153703
1978,WISCONSIN,4,ELROY CHARLES HONADEL,REPUBLICAN,52125,153703
1978,WISCONSIN,4,WRITEIN,,3,153703
1978,WISCONSIN,5,HENRY S REUSS,DEMOCRAT,85067,116420
1978,WISCONSIN,5,JAMES R W MEDINA,REPUBLICAN,30185,116420
1978,WISCONSIN,5,JOHN EDWARD SOKOLY,INDEPENDENT,386,116420
1978,WISCONSIN,5,PAUL GREENBERG,INDEPENDENT,779,116420
1978,WISCONSIN,5,WRITEIN,,3,116420
1978,WISCONSIN,6,GORDON PONSCHOCK,CONSERVATIVE,1287,164817
1978,WISCONSIN,6,ROBERT J STEFFES,DEMOCRAT,48785,164817
1978,WISCONSIN,6,WILLIAM A STEIGER,REPUBLICAN,114742,164817
1978,WISCONSIN,6,WRITEIN,,3,164817
1978,WISCONSIN,7,DAVID R OBEY,DEMOCRAT,110874,178304
1978,WISCONSIN,7,GEORGE OLISHKEWYCH,CONSERVATIVE,1678,178304
1978,WISCONSIN,7,VINTON A VESTA,REPUBLICAN,65750,178304
1978,WISCONSIN,7,WRITEIN,,2,178304
1978,WISCONSIN,8,ROBERT J CORNELL,DEMOCRAT,73925,175791
1978,WISCONSIN,8,TOBY ROTH,REPUBLICAN,101856,175791
1978,WISCONSIN,8,WRITEIN,,10,175791
1978,WISCONSIN,9,F JAMES SENSENBRENNER,REPUBLICAN,118386,193688
1978,WISCONSIN,9,MATTHEW J FLYNN,DEMOCRAT,75207,193688
1978,WISCONSIN,9,WRITEIN,,95,193688
1978,WYOMING,0,RICHARD BRUCE CHENEY,REPUBLICAN,75855,129377
1978,WYOMING,0,WILLIAM D BAGLEY,DEMOCRAT,53522,129377
